resampled_Sample_names,resampled_D0,resampled_D1,resampled_D2,resampled_sd.D0,resampled_sd.D1,resampled_sd.D2,Sample Replicate,Run Replicate,Sample,ID within run,Temperature_Treatment,Nutrient_Treatment,Microbiome_Treatment,Density_SceA,Density_CoeM,Density_SelC,Density_MonM,Density_ChlS,Total_Density,x_label,bacterial_counts,bead_counts,dilution_factor
NR1_r1_s1_006.fcs,15880.9,5159.85855777821,2854.86264786232,227.101274520618,68.2473295443501,53.6324584550607,NR1,r1,1,006.fcs,Ambient,OG,Low,0,833.33,0,4722.22,3055.56,8611.11,OG-Ambient,1839,13492,10
NR1_r1_s101_046.fcs,15484.9,5913.62043565174,4060.70886280115,303.066347704774,88.4097246206328,75.6286229942844,NR1,r1,101,046.fcs,Ambient,EU,High,74166.67,33333.33,26388.89,185277.78,3055.56,322222.22,EU-Ambient,2176,8258,10
NR1_r1_s106_048.fcs,15882.8,5863.32581404081,4067.45381064716,254.660034817663,98.1355641265557,65.2931172538285,NR1,r1,106,048.fcs,Elevated,EU,High,16111.11,100833.33,277.78,3333.33,277.78,120833.33,EU-Elevated,1835,9143,10
NR1_r1_s111_050.fcs,14742.2,6102.92933407892,4081.96689226345,234.442980511491,90.4479624620665,91.3660299045313,NR1,r1,111,050.fcs,Ambient,HE,High,5555.56,1944.44,1388.89,176388.89,555.56,185833.33,HE-Ambient,1910,9521,10
NR1_r1_s116_052.fcs,15237.8,5926.8723647758,4073.13870528686,281.675857838205,116.700024899956,98.847176064685,NR1,r1,116,052.fcs,Elevated,HE,High,10833.33,8888.89,0,2777.78,0,22500,HE-Elevated,1640,8921,10
NR1_r1_s16_012.fcs,17730,5532.03576167206,3417.6348284567,428.115249280689,91.4963436368894,64.1398785171332,NR1,r1,16,012.fcs,Elevated,MS,Low,1944.44,27500,5555.56,68611.11,5833.33,109444.44,MS-Elevated,2602,13526,10
NR1_r1_s21_014.fcs,15450.4,3972.91250996993,1965.62525051108,300.463419847852,89.957208787421,53.7788465346429,NR1,r1,21,014.fcs,Ambient,EU,Low,12222.22,47222.22,10000,182777.78,5277.78,257500,EU-Ambient,3059,10760,10
NR1_r1_s26_016.fcs,14868.5,5196.20840536189,3383.02577750129,151.276237393716,105.300116151141,79.7493470295472,NR1,r1,26,016.fcs,Elevated,EU,Low,8333.33,31388.89,5000,53888.89,3611.11,102222.22,EU-Elevated,2096,11289,10
NR1_r1_s31_018.fcs,15734.7,5307.32540627496,2524.27734274212,220.063147502913,95.9719431503693,63.1934959592727,NR1,r1,31,018.fcs,Ambient,HE,Low,6944.44,5555.56,1666.67,254444.44,2222.22,270833.33,HE-Ambient,2506,16596,10
NR1_r1_s36_020.fcs,15923.1,6430.14250877858,4543.05242238585,267.622225451392,102.436583284571,87.9666056133625,NR1,r1,36,020.fcs,Elevated,HE,Low,1111.11,26666.67,0,2500,2222.22,32500,HE-Elevated,2117,16826,10
NR1_r1_s41_022.fcs,15954.4,5918.55446213384,3822.64669344083,271.36044090635,128.146151237129,110.696384685836,NR1,r1,41,022.fcs,Ambient,OG,Medium,5333.33,7333.33,4444.44,10222.22,6444.44,33777.78,OG-Ambient,1309,16805,10
NR1_r1_s46_024.fcs,15429.8,5380.88221547433,3551.38961254839,254.570575239515,73.4533048697074,76.6091788408048,NR1,r1,46,024.fcs,Elevated,OG,Medium,2222.22,1944.44,1944.44,13055.56,2777.78,21944.44,OG-Elevated,1996,16512,10
NR1_r1_s51_026.fcs,15954.1,5564.37835524948,3580.4386746786,200.465264378202,71.0041656186018,80.7563619247797,NR1,r1,51,026.fcs,Ambient,MS,Medium,21944.44,17500,9722.22,62777.78,2777.78,114722.22,MS-Ambient,2751,16230,10
NR1_r1_s56_028.fcs,15525.8,5873.98784886402,4273.86270922997,358.071004752471,79.1375347341421,65.4887993927964,NR1,r1,56,028.fcs,Elevated,MS,Medium,12777.78,31666.67,0,1388.89,2777.78,48611.11,MS-Elevated,2447,11609,10
NR1_r1_s6_008.fcs,16247.5,5948.15294580297,3771.59960824762,386.646623043718,110.175822412437,109.751893435681,NR1,r1,6,008.fcs,Elevated,OG,Low,14074.07,12222.22,13703.7,5925.93,14444.44,60370.37,OG-Elevated,2152,21856,10
NR1_r1_s61_030.fcs,15342.4,5816.58782095705,3780.05772475507,176.92823403855,64.7590573749352,69.3571637524151,NR1,r1,61,030.fcs,Ambient,EU,Medium,46388.89,47777.78,4444.44,151851.85,3611.11,254074.07,EU-Ambient,2321,12340,10
NR1_r1_s66_032.fcs,15684.6,6001.00313878568,4027.16717148019,154.239496310842,104.715794493313,110.69698099754,NR1,r1,66,032.fcs,Elevated,EU,Medium,31388.89,31388.89,277.78,58888.89,833.33,122777.78,EU-Elevated,2284,13009,10
NR1_r1_s71_034.fcs,15270,5380.31874853133,3128.37795129268,144.34603485298,79.21725000866,75.2202549283047,NR1,r1,71,034.fcs,Ambient,HE,Medium,297857.14,33333.33,14444.44,688333.33,555.56,1034523.81,HE-Ambient,2974,13143,10
NR1_r1_s76_036.fcs,15164.5,6119.87793818741,4300.21783104978,248.87937729841,79.402908095079,57.60903794998,NR1,r1,76,036.fcs,Elevated,HE,Medium,254444.44,113888.89,833.33,19444.44,1111.11,389722.22,HE-Elevated,1841,12466,10
NR1_r1_s81_038.fcs,14424.5,5403.38779507195,3772.2315694471,329.263234779982,87.5528103308198,76.1157849996297,NR1,r1,81,038.fcs,Ambient,OG,High,3333.33,11944.44,1666.67,15000,1666.67,33611.11,OG-Ambient,1189,9892,10
NR1_r1_s86_040.fcs,15052.3,5098.66817632611,3453.56872009288,410.587668267489,80.0321318226381,89.3739999386201,NR1,r1,86,040.fcs,Elevated,OG,High,555.56,9444.44,0,1111.11,0,11111.11,OG-Elevated,1650,9374,10
NR1_r1_s91_042.fcs,14743.4,5617.54178176426,3789.02266656822,369.979939396119,155.174670729291,121.211618992022,NR1,r1,91,042.fcs,Ambient,MS,High,23055.56,17777.78,28888.89,77777.78,1666.67,149166.67,MS-Ambient,1787,8577,10
NR1_r1_s96_044.fcs,16288.5,6502.23859529086,4636.42070349511,305.488770479193,89.4402749338228,84.3727825324412,NR1,r1,96,044.fcs,Elevated,MS,High,14722.22,24722.22,2500,24722.22,3888.89,70555.56,MS-Elevated,2253,9534,10
NR1_r2_s1_007.fcs,17091.6,5417.68218327377,2940.78920536657,199.874516190089,102.477846406091,94.9124100370476,NR1,r2,1,007.fcs,Ambient,OG,Low,0,833.33,0,4722.22,3055.56,8611.11,OG-Ambient,1831,12425,10
NR1_r2_s101_047.fcs,14608.4,5809.53289305449,3984.41247228784,183.510944269454,81.7933833613188,71.9832017556832,NR1,r2,101,047.fcs,Ambient,EU,High,74166.67,33333.33,26388.89,185277.78,3055.56,322222.22,EU-Ambient,2098,7831,10
NR1_r2_s106_049.fcs,15800.8,6012.77882123122,4144.78875603096,305.856465973466,74.5789614247665,65.2923683355798,NR1,r2,106,049.fcs,Elevated,EU,High,16111.11,100833.33,277.78,3333.33,277.78,120833.33,EU-Elevated,1820,9158,10
NR1_r2_s11_010.fcs,16355.6,4441.06046930714,2325.51606404012,285.401938792761,61.0276653384315,37.4176802857224,NR1,r2,11,010.fcs,Ambient,MS,Low,9166.67,35555.56,1944.44,112222.22,30277.78,189166.67,MS-Ambient,2739,11127,10
NR1_r2_s11_011.fcs,18629.5,4670.92443612645,2295.38485120672,319.86880991362,115.595615575358,77.5313600846658,NR1,r2,11,011.fcs,Ambient,MS,Low,9166.67,35555.56,1944.44,112222.22,30277.78,189166.67,MS-Ambient,3023,10971,10
NR1_r2_s111_051.fcs,15030.3,6234.36352543344,4176.24337659878,269.160443684514,69.2617585405424,51.4501991704799,NR1,r2,111,051.fcs,Ambient,HE,High,5555.56,1944.44,1388.89,176388.89,555.56,185833.33,HE-Ambient,1835,9307,10
